1,CHN,350,347,292
2,DEN,179,241,177
3,NED,287,340,413
4,USA,2638,1641,1358
5,FIN,198,270,432
6,NOR,378,361,294
7,ROU,161,200,292
8,EST,13,12,25
9,FRA,501,610,666
10,MAR,6,5,12
11,ESP,110,243,136
12,EGY,7,8,12
13,IRI,18,21,29
14,BUL,54,144,144
15,ITA,575,531,530
16,CHA,0,0,0
17,AZE,7,12,24
18,SUD,0,1,0
19,RUS,390,366,408
20,ARG,91,92,91
21,CUB,164,129,116
22,BLR,24,44,71
23,GRE,62,109,84
24,CMR,19,1,1
25,TUR,40,27,28
26,CHI,3,9,20
27,MEX,30,26,54
28,URS,1082,732,689
29,NCA,0,0,0
30,HUN,432,331,371
31,NGR,23,30,46
32,ALG,5,4,8
33,KUW,0,0,2
34,BRN,1,1,1
35,PAK,42,45,34
36,IRQ,0,0,1
37,UAR,0,1,1
38,LIB,0,2,2
39,QAT,0,1,4
40,MAS,0,11,5
41,GER,745,674,746
42,CAN,463,438,451
43,IRL,9,13,13
44,AUS,348,455,516
45,RSA,32,47,52
46,ERI,0,0,1
47,TAN,0,2,0
48,JOR,1,0,0
49,TUN,3,3,7
50,LBA,0,0,0
51,BEL,98,197,173
52,DJI,0,0,1
53,PLE,0,0,0
54,COM,0,0,0
55,KAZ,20,25,32
56,BRU,0,0,0
57,IND,138,19,40
58,KSA,0,1,5
59,SYR,1,1,1
60,MDV,0,0,0
61,ETH,22,9,22
62,UAE,1,0,1
63,YAR,0,0,0
64,INA,11,17,13
65,PHI,0,3,7
66,SGP,1,4,4
67,UZB,10,7,17
68,KGZ,0,1,2
69,TJK,1,1,2
70,EUN,126,71,81
71,JPN,247,309,357
72,CGO,0,0,0
73,SUI,175,247,268
74,BRA,109,175,191
75,FRG,159,194,233
76,GDR,397,327,281
77,MON,0,0,1
78,ISR,1,1,7
79,URU,31,2,30
80,SWE,479,522,535
81,ISV,0,1,0
82,SRI,0,2,0
83,ARM,2,5,9
84,CIV,1,1,1
85,KEN,34,41,31
86,BEN,0,0,0
87,UKR,47,52,100
88,GBR,678,739,651
89,GHA,0,1,22
90,SOM,0,0,0
91,LAT,3,19,13
92,NIG,0,1,1
93,MLI,0,0,0
94,AFG,0,0,2
95,POL,117,195,253
96,CRC,1,1,2
97,PAN,1,0,2
98,GEO,8,6,18
99,SLO,8,13,27
100,CRO,58,54,37
101,GUY,0,0,1
102,NZL,90,56,82
103,POR,4,11,26
104,PAR,0,17,0
105,ANG,0,0,0
106,VEN,2,3,10
107,COL,5,9,14
108,BAN,0,0,0
109,PER,1,14,0
110,ESA,0,0,0
111,PUR,1,2,5
112,UGA,2,3,2
113,HON,0,0,0
114,ECU,1,1,0
115,TKM,0,0,0
116,MRI,0,0,1
117,SEY,0,0,0
118,TCH,81,225,182
119,LUX,4,4,0
120,MTN,0,0,0
121,CZE,42,36,66
122,SKN,0,0,0
123,TTO,7,8,17
124,DOM,3,2,2
125,VIN,0,0,0
126,JAM,38,75,44
127,LBR,0,0,0
128,SUR,1,0,1
129,NEP,1,0,0
130,MGL,2,10,14
131,AUT,108,186,156
132,PLW,0,0,0
133,LTU,6,7,47
134,TOG,0,0,1
135,NAM,0,4,0
136,AHO,0,1,0
137,ISL,0,15,2
138,ASA,0,0,0
139,SAM,0,0,0
140,RWA,0,0,0
141,DMA,0,0,0
142,HAI,1,1,5
143,MLT,0,0,0
144,CYP,0,1,0
145,GUI,0,0,0
146,BIZ,0,0,0
147,YMD,0,0,0
148,KOR,221,232,185
149,THA,9,8,13
150,BER,0,0,1
151,ANZ,20,4,5
152,SCG,12,26,26
153,SLE,0,0,0
154,PNG,0,0,0
155,YEM,0,0,0
156,IOA,1,1,3
157,OMA,0,0,0
158,FIJ,13,0,0
159,VAN,0,0,0
160,MDA,0,3,5
161,YUG,130,167,93
162,BAH,14,11,15
163,GUA,0,1,0
164,SRB,15,29,41
165,IVB,0,0,0
166,MOZ,1,0,1
167,CAF,0,0,0
168,MAD,0,0,0
169,MAL,0,0,0
170,BIH,0,0,0
171,GUM,0,0,0
172,CAY,0,0,0
173,SVK,15,19,13
174,BAR,0,0,1
175,GBS,0,0,0
176,TLS,0,0,0
177,COD,0,0,0
178,GAB,0,1,0
179,SMR,0,0,0
180,LAO,0,0,0
181,BOT,0,0,0
182,ROT,0,0,0
183,CAM,0,0,0
184,PRK,16,16,35
185,SOL,0,0,0
186,SEN,0,1,0
187,CPV,0,0,0
188,CRT,0,0,0
189,GEQ,0,0,0
190,BOL,0,0,0
191,SAA,0,0,0
192,AND,0,0,0
193,ANT,0,0,0
194,ZIM,17,4,1
195,GRN,1,1,0
196,HKG,1,2,1
197,LCA,0,0,0
198,FSM,0,0,0
199,MYA,0,0,0
200,MAW,0,0,0
201,ZAM,0,1,1
202,RHO,0,0,0
203,TPE,3,28,18
204,STP,0,0,0
205,MKD,0,0,1
206,BOH,0,1,11
207,TGA,0,1,0
208,LIE,2,2,5
209,MNE,0,13,0
210,GAM,0,0,0
211,COK,0,0,0
212,ALB,0,0,0
213,WIF,0,0,5
214,SWZ,0,0,0
215,BUR,0,0,0
216,NBO,0,0,0
217,BDI,1,1,0
218,ARU,0,0,0
219,NRU,0,0,0
220,VNM,0,0,0
221,VIE,1,3,0
222,BHU,0,0,0
223,MHL,0,0,0
224,KIR,0,0,0
225,UNK,0,0,0
226,TUV,0,0,0
227,NFL,0,0,0
228,KOS,1,0,0
229,SSD,0,0,0
230,LES,0,0,0
